full_name,days,stars_from,stars_to,star_delta,stars_per_day,recent_per_day,accel_x,open_issues_from,open_issues_to,issue_delta,issue_ratio,resp_hours,signal
every-app/open-seo,1,15526,15870,344,344.0,344.0,1.0,119,122,3,0.0077,92.3,爆发且健康
img2threejs/img2threejs,1,14667,14787,120,120.0,120.0,1.0,74,77,3,0.0052,,爆发且健康
AgriciDaniel/claude-seo,1,15908,15981,73,73.0,73.0,1.0,46,47,1,0.0029,218.0,爆发且健康
NVIDIA/SkillSpector,1,15396,15468,72,72.0,72.0,1.0,85,87,2,0.0056,72.9,爆发且健康
1jehuang/jcode,1,18869,18923,54,54.0,54.0,1.0,386,396,10,0.0209,21.8,爆发且健康
t8y2/dbx,1,17567,17621,54,54.0,54.0,1.0,1148,1094,-54,0.0621,0.2,爆发但issue积压
pipecat-ai/pipecat,1,15014,15056,42,42.0,42.0,1.0,258,312,54,0.0207,6.4,平稳增长
xbtlin/ai-berkshire,1,16042,16082,40,40.0,40.0,1.0,35,35,0,0.0022,35.8,平稳增长
RyanCodrai/turbovec,1,16567,16602,35,35.0,35.0,1.0,15,16,1,0.001,36.2,平稳增长
walkinglabs/learn-harness-engineering,1,14573,14606,33,33.0,33.0,1.0,10,10,0,0.0007,121.2,平稳增长
jlcodes99/cockpit-tools,1,16819,16847,28,28.0,28.0,1.0,534,544,10,0.0323,18.1,平稳增长
wanshuiyin/Auto-claude-code-research-in-sleep,1,15504,15532,28,28.0,28.0,1.0,63,63,0,0.0041,16.9,平稳增长
HBAI-Ltd/Toonflow-app,1,14952,14979,27,27.0,27.0,1.0,3,4,1,0.0003,21.0,平稳增长
browser-use/browser-harness,1,17266,17290,24,24.0,24.0,1.0,307,308,1,0.0178,,平稳增长
liyupi/ai-guide,1,19339,19358,19,19.0,19.0,1.0,2,2,0,0.0001,202.5,平稳增长
nesquena/hermes-webui,1,17924,17943,19,19.0,19.0,1.0,809,818,9,0.0456,1.0,平稳增长
pydantic/pydantic-ai,1,19610,19628,18,18.0,18.0,1.0,784,788,4,0.0401,3.0,平稳增长
opensandbox-group/OpenSandbox,1,14860,14877,17,17.0,17.0,1.0,164,171,7,0.0115,1.5,平稳增长
browseros-ai/BrowserOS,1,13415,13432,17,17.0,17.0,1.0,89,90,1,0.0067,61.5,平稳增长
earthtojake/text-to-cad,1,14072,14088,16,16.0,16.0,1.0,13,13,0,0.0009,7.0,平稳增长
maximhq/bifrost,1,7692,7707,15,15.0,15.0,1.0,987,977,-10,0.1268,3.5,平稳增长
superset-sh/superset,1,13563,13578,15,15.0,15.0,1.0,584,589,5,0.0434,0.1,平稳增长
yc-software/qm,1,14388,14402,14,14.0,14.0,1.0,362,372,10,0.0258,0.4,平稳增长
livekit/agents,1,13908,13921,13,13.0,13.0,1.0,785,792,7,0.0569,24.1,平稳增长
alibaba/zvec,1,15545,15557,12,12.0,12.0,1.0,59,59,0,0.0038,141.7,平稳增长
BasedHardware/omi,1,13353,13363,10,10.0,10.0,1.0,628,649,21,0.0486,39.7,平稳增长
microsoft/agent-framework,1,13241,13251,10,10.0,10.0,1.0,644,642,-2,0.0484,2.9,平稳增长
eosphoros-ai/DB-GPT,1,19828,19836,8,8.0,8.0,1.0,423,425,2,0.0214,0.2,平稳增长
